@relation movies
@attribute att_avis STRING
@attribute att_thought {-1,1}
@data
'sorryeveryoneiknowthisissupposedtobeanartfilmbutwowtheyshouldhavehandedoutgunsatthescreeningsopeoplecouldblowtheirbrainsoutandnotwatchalthoughthescenedesignandphotographicdirectionwasexcellentthisstoryistoopainfultowatchtheabsenceofasoundtrackwasbrutaltheloooonnnnngshotsweretoolonghowlongcanyouwatchtwopeoplejustsittingthereandtalkingespeciallywhenthedialogueistwopeoplecomplainingireallyhadahardtimejustgettingthroughthisfilmtheperformanceswereexcellentbuthowmuchofthatdarksombreuninspiredstuffcanyoutaketheonlythingilikedwasmaureenstapletonandherreddressanddancingsceneotherwisethiswasaripoffofbergmanandimnofanfhiseitherithinkanyonewhosaystheyenjoyedhoursofthisiswelllying',-1

'wheniwaslittlemyparentstookmealongtothetheatertoseeinteriorsitwasoneofmanymoviesiwatchedwithmyparentsbutthiswastheonlyonewewalkedoutofsincethenihadneverseeninteriorsuntiljustrecentlyandicouldhavelivedouttherestofmylifewithoutitwhatapretentiousponderousandpainfullyboringpieceofswineandcheesetripewoodyallenisoneofmyfavoritedirectorsbutinteriorsisbyfartheworstpieceofcrapofhiscareerintheunmistakablestyleofingmarbermanallengivesusadarkangularmutedinsightintothelivesofafamilywroughtbythepsychologicaldamagecausedbydivorceestrangementcareerlovenonlovehalitosiswhateverthefilmintentionallyhasnocomicreliefnomusicandisdrenchedinshadowypathosthisfilmstylecanbebestdefinedasexpressionistinnatureusinganimprovisationalmethodofdialoguetoillicitamorepronounceddepthofmeaningandtruthbutwoodyallenisnoingmarbergmanthefilmispainfullyslowanddullbutbeyondthatisimplyhadnoconnectionwithorsympathyforanyofthecharactersinsteadifeltonlycontemptforthisparadeofshufflingwhiningnicotinestainedmartyrsinaperpetualquestforidentityamidabackdropofcosmopolitanaffluenceandbakedbrieintelligentsiathestoryloomslikeafartintheroomeveryonespeaksinaffectedplatitudesandelevatedlanguagebetweencigaretteseveryoneislostandstrugglingdesperatetofinddirectionorunderstandingorwhateveranditjustgoesonandontothepointwhereyoujustwanttoslapallofthemitsneveraboutresolutionitsonlyaboutinterminableintrospectivebabbleitisnothingmorethanapsychologicaldramatakentoanextremebeyondtheaudiencesabilitytoconnectwoodyallenchosetomakecharacterssoimmersedinthemselveswefeelleftoutandforthatreasonifoundthismoviepainfullyselfindulgentandspirituallydrainingiseewhathewasgoingforbuthisinsistenceonpromotinghismessagethroughprozacproseanddistortedfilmtechniquesjettisonsitpastthepointofrelevanceihighlyrecommendthisoneifyourefeelingalittletoohappyandneedsomethingtoremindyouofdeathotherwiseletsjustpretendthisfilmneverhappened',-1

'thisfilmismediocreatbestangieharmonisasfunnyasabagofhammersherbitchydemeanorfromlawandordercarriesoverinafailedattemptatcomedycharliesheenistheonlyonetocomeoutunscathedinthishorribleanticomedytheonlypositivethingtocomeoutofthismessischarlieanddenisesmarriagehopefullythateffortproducesbetterresults',-1

'thefilmisbadthereisnootherwaytosayitthestoryisweakandoutdatedespeciallyforthiscountryidontthinkmostpeopleknowwhatawalkerisorwillreallycareifeltasifiwaswatchingamoviefromthesthesubjectwasjustnotbelievablefortheyearevenbeingsetindcithinkthisrangtrueforeveryoneelsewhowatchedittooastheapplausewerelowandquickattheendmostdidntstayfortheqaeitheridontthinkschraderreallythoughtthefilmoutaheadoftimemanyofthescenesseemedtobecutshortasiftheywereneverfinishedorhejustdidntknowhowtofinishthemhejumpedfromonescenetothenextandyouhadtotryandfigureoutorguesswhatwasgoingonireallydidntgetwoodyscarterprivatelifeorboyfriendeitherwhatwerealltheartisticmalebondageandtorturepicturesfromiraqprisonsaboutwhatwashethinkingithinkitwashisverypoorattemptattryingtocreatethisdarkprivatesubculturelifeforwoodyscharactercaritdidntworkitdidntevenseemtomakesensereallytheonlygoodthingaboutthisfilmwaswoodyharrelsonheplayedhischaractercarflawlesslyyoureallydidgetagreatsenseofwhatawalkermayhavebeenlikesaytwentyyearsagohewasgreatandmostlikelywillnevergetrecognizedforitasforlaurenlilyandkristinboringdontseeititispainfulunlessyouareatrueharrelsonfan',-1

'thisfilmisonegiantpantloadpaulschraderisutterlylostinhisownbadscreenplayandhisdirectingisaboutascomatoseasitcanbewithouthisactuallyhavingbeensleepwalkingduringtheprocesstheworstthoughiswoodyharrelsonwhomiordinarilylikewhenhesproperlycastheplaysthewalkerahomosexualmanindcwhoplayssocialcompaniontotheboredwivesofthewashingtonelitehecouldnthavebeenmoreonedimensionalifhehadbeencutoutofamagazineandbouncedaroundinfrontofthecameraonapopsiclestickhissouthernaccentisthatofftherackversionthatdecrescendosfromthebeginningtotheendofeverylinehedeliversasthoughtheheatandhumidityofthesouthisstilldraininghimofeveryounceofenergyhehasitismonotonousbuthisisnottheworstaccentinthemoviehisboyfriendplayedbymoritzbleibtreauattemptstoaffectsomekindofamideastaccentthatissoclumsyhecanbarelydeliverthebadlineswrittenforhimheisincapableofrollinghisrsinspiteofthefactthatinreallifeheisgermanandspeaksseverallanguagesoneofthembeingitalianthatskindofagoodreasontocastsomeoneelsedontyathinkfromthestorytothescreenplaytothedirectingtothecameraworktotheperformancesbytheleadsthismovieisbadfrombeginningtoendtheonlytolerablemomentsinthisfilmcamefromthreesupportingactresseslilytomlinlaurenbacallandkristinscottthomasonlythesethreemanagedtomakeitthroughthismoviewiththeirdignityintactinfactallthreeareexcellentinspiteofbeingtrappedinareallybadfilmufortunatelynoonecouldeverbegoodenoughtoredeemthisendlessseriesofflawsifyoulikethesethreeactresseswatchtheminsomethingelsethismovieisnotworthyourtime',-1

'thismoviemustbeinlineforthemostboringmovieinyearsnotevenwoodyharrisoncansavethismoviefromsinkingtothebottomthemurderinthismoviearesupposedtobethepointofinterestinthismoviebutisnotnothingisofanyinterestthecastarenottobadbutthescriptarejustplainawfulijustsatinutteramazementduringthismoviethinkinghowonearthcananyonefindthismovieentertainingtheproducersofthismoviewereveryclevertheymadeaboringmoviebuthiditwellwiththenamesofgoodactorsandactressesontheircastpeoplewillgototheblockbusterandprobablyseethismovieandthinkwoodyharrisonkristinscottthomasandwillemdafoethismustbegoodandrentthismovieboyaretheyinforahorribletimeifyoulikegettingrippedoffgoandrentthismoviesomepeopleactuallydidenjoyedthismoviebutiliketowatchamoviewithmeaning',-1

'awornoutplotofamanwhotakestherapforawomaninamurdercasetheequallywornoutplotofanoutsiderontheinsidewhoeventuallyisshutoutwithsuchanoutstandingcaseonewouldthinkthefilmwouldriseaboveitshackneyedoriginsbutsceneafterscenedronesbywithnochangeinintensitynocharacterarcsandinexplicablebehaviorthehomosexualitythemewascompletelyunnecessaryorontheotherhandcompletelyunexploreditseemedtobeincludedonlytotitillatetheviewerswhenwillhollywoodlearnthathavinggaycharactersdoesnotautomaticallymakeamorecompellingpicturearegrettablydreadfulmoviewhenwilllaurenbacallpickagoodoneiexpectedbetterofherandkristinscottthomasthisoneisdefinitelyonetomiss',-1

'isawthismovieatadriveininuntilhowardtheduckiconsideredthistheworstmovieihadeverseenthismovietriedtocombineallthegenerainonecomedyhorrorteenageangstandthehotrodthatmusthavesiredmymotherthecarmaybeitdeservesasecondviewingtoseeifitisanaccuratereflectionofitstime',-1

'ghostofdragstriphollowisatypicalsteensinturmoilmovieitisnotahorrororsciencefictionmovieplotconcernsagroupofteenswhoareabouttogetkickedoutoftheirhotrodclubbecausetheycannotmeettherentoncekickedouttheydecidetotryanoldhauntedhousetheonlysavinggraceforthefilmisthattheghostpaulblaisdellintheshecreaturesuitturnsouttobeanoutofworkmoviemonsterplayedbyblaisdell',-1

'theworstmovieihaveseensinceterajadoochalgayathereisnostorynohumornonothingtheactionsequencesseemmorelikeaseriesofhaphazardakshaykumarthumbsupadvertisementsstitchedtogetherheavilyinfluencedfromthematrixandkungfuhustlebutverypoorlyexecutedididnotgoalotofexpectationsbutwatchingthismovieisanexasperatingexperiencewhichmakesyouwonderwhatweretheseguysthinkingtheonlythingyoumightrememberafterwatchingitisananorexickareenainabikinithereasonwhyididnotgivearatingofisthateverytimeithinkihaveseentheworstbollywoodprovesmewrong',-1

'shameonyashrajfilmsandadityachoprawhoseemstohavelosttheirintelligenceovertheyearsandprovidingsteadyfareoftripeinthispieceofcinematiccrapthatsnotevenworthyoutubestandardsiwasgrittingmyteeththroughoutthewholeflickstarttofinishwiththeschizophrenicdirectionplotlinethatneverquitematerializedandonthelastsceneijustfeltashamedthatmycountryanditscrorepatifilmmakerscanthrowawaycroresonsuchstupidityshameontheactorsfortakingthisworkandevencommentingonitassomepieceofworktheycanownuptosaifalikhancompletelydisappointedinyourchoiceoffilmkareenshowsenoughskinforthepubertystrickenandakshaycomesupasthedimwitanilanotherretardwithapubescentfascinationforenglishhiscronieswerecommendableintheiractingandwiththebizarrecinematographyscatteredinthelastminutesitwasenoughtopopabloodvesseldontwasteanybraincellsenergyoryourmoneytogoseethisgoseerentamuwithkonkanasensharmainsteadabeautifulpieceofindependentfilmthatsevercomeoutofindiaintelligentpoignantandawonderfulstorytalethatwilltoucheveryonewithintelligentactorsandgavemehopethatallisnotlostinindiancinemamaking',-1

'ifthisisaproductfromoneofthebiggestproductionhousesofindianfilmindustryyashrajtheniamafraiditisaverylongaheadforustoreachtherightstandardsifyoucangowrongtothislengthwithsuchanenormousstarcastofanilakshaysaifandkareenathenmoviemakingisstilltobestudiedmuchharderbyeveryoneassociatedwiththisfilmthefilmlacksinalmostalldepartmentsexceptcinematographyandakshaykumarhehasafewgooddialoguestorenderbutthatalonecannotmakeyouenjoyaflickwithhugeexpectationsthefirstsceneofacargoingdownintoariverfromthemountainhasverycheapgraphicslikethatofacartoonfilmthatitselfwasaclearindicatorofthedirectorsvisioneveryactorwhootherwiseisanassettoamovieissimplywastedanilkapoorsgimmickofattemptinggoodenglishfallsflatmostofthetimesandsaifwillsurelyhithimselfthinkingwhyhesignedthismovieinshortitsthebiggestwasteofresoursesafterjhoombarabarjhoomiwouldsaythatevenaajanachlewasabetterenjoyablemoviethanthisonecannotunderstandhowandwhythiskindofscriptwaswrittenandapprovedthemostunwantedwastheflashbacksequenceofakshayslovestoryafterthefaultyscripttheweakestpointofthemovieisitsmusicvishalshekharhavegivenjustsomefillertunestoeachsongthesongsstartoffverywellandsuddenlythetunesdropdrasticallyonlyonesongfalaktakchalissomehowgoodofallinthelotanopportunitywastedbyvishalshekharregardingthecontinuityintelligenceofthemakersjustsamplethisakshayandsaifareontheroadinthehillyareaofaforeignlocationprobablyladakhinthenextscenetheyaresearchingforkareenainharidwarandthenbackinthehillswithkareenainthedickyoftheircariamstillthinkingwhowrotethisifyoumanagetosittillthelastthentheclimaxistoolongwithsillyandunnecessarystuntsyoucanseealltheheroeswalkingthroughthestormofbulletsnothurtasiftheyaregodarewestillseeingamoviewithallthesetechnicalheightsachievedsonomorewordsonthispatheticanddowngrademoviebutasincererequesttosenioractorsfromtheirfandearanilkapoorakshaykumarifpossiblepleaseaskforapreviewofyourmoviesaftertheirfirstcopyisoutasartistsofsuchstatureyouhavecertainresponsibilitiestowardsyourfansandviewerspeoplestillclapforyouasyouenterthescreeninyourfirstscenesrespectivelyithinkthiskindofmovieshouldnotseethedaylightasithampersthereputationofallassociatedwiththemovietheactorsandtheproductionhouseboth',-1

'ihadsomeexpectationforthemoviesinceithadanicestarcastanditisthereturnoftheduoofakshayandsaifwelliwashesitanttowatchthemoviebecausethiswasdonebythesamemanwhowrotethestoryfordhoomfranchisebecauseihateddhoombutifdhoomiscomparedtotashaniwouldsaydhoomisveryrealisticwhenisawthecreditsatthebeginningifeltnicebecauseitwasputupinanicewaywelltheveryfirstsceneitselfpisedmeoffthenthemajordrawbackofthemovieistheactionsequencesmeandmyfriendswerelaughingourgutsoffwatchingthiscrappyfightsitwaslikeakshayagainstsomethugsandallandthethugsevengotmachinegunsphewyougottoseethistounderstandhowbadtheactionsequencesaretheotherthingaboutthemovieisthefartoopredictablestoryitremindedmeofsomeoftheearlysmovieswelltheonlythingthemovieisworthisofsexykareenawholookedreallyhotinthisoneandforthatigivearatingofoutofguyspleasepleasedontseethisonethinkingthatitisarealgangstermoviewellyoucanwatchthistohavesomelaughsattheterriblefightscenesthatsall',-1

'theactioninthismoviebeatssunnybhaiingadarakshaykumarpossessthesuperpowersofleonidusinneoinmatrixalongwithspidermanandsupermanitishilariousexceptforthetypicalakshaykumarandanilkapoorcomedyicannotseeanythingpositiveinthisfilmthestorylookslikethewritertoldhisyroldsontowritethemovieissounrealthatanilkapoorslongrangeshootingwithashotgunistheleastmostmistakebythedirectorexceptforthedirectorstashantomakethismoviethereisnoothertashaniregretwastingmymoneyonthismovieandiwouldnotrecommendittoanybodyistheleasticangiveonimdboriwouldgiveitazero',-1

'ihadalotofexpectationsfromthismovieandmoresosinceitwasayashrajfilmjimmyoperatesacallcentreandonedayheisinvitedbypoojasinghtoteachherbosslakhansinghenglishthetwofallinloveanddecidetorunawaybutpoojatellsjimmythatshecantdothisassheowesadebttolakhansinghwhoisalsoknownasbhaiyyajibuttheydecideandstealmoneyfromhimanditsonlythenthatjimmyfindsoutthatbhaiyyajilakhansinghisadoninthemeantimebhaiyyajihiresamanbachchanpandeytotrackdownjimmyandpoojastarringsaifalikhankareenakapooranilkapoorandakshayekumarthemovieisdirectedbyfirsttimedirectorviaykrishnaacharyaandisproducedbybothadityachopraandyashchopratashanhastobeoneoftheworsefilmsthatihaveeverwatchedyesthesceneryisgoodandkareenakapoorandhermuchpublicisedweightlosslooksgoodbutplotisextremelythinonstoryandattimesmakesnosensefromonescenetotheotherhencewhyihavesaidatthebeginningthatihadexpectedmorefromthisfilmasitwasayashrajproductionwithreferencetosongsunfortunatelythereisnotonesongthaticanremembernowtherearemomentswhereonecanlaughandthatismainlythankstoakshayekumarandsaifcouldhavedefinitelydonebetterwhilekareenakapoorplayedherpartwellbutthiscannotbesaidforanilkapooritdidnotsuithimatallasavillainlastlynevermindadityachoprawhointhepasthasproducedanddirectedgoodfilmssuchasmohabbateinwhatwasyashchopradoingbyproducingsuchatrashmovieconclusionbadmovienotworthwastingyourtimeandthatismyfirstandlastimpression',-1

'ihadnoideawhatthefilmisaboutbeforeisawitbecausetashanonlyhadteasertrailerswhileitwasbeingpromotedsoiaskedmyfriendsiftheyknewanythingaboutitandtheysaidthatitisthedirectorialdebutofvijaykrishnaacharyawhowrotethescreenplaysfordhoomandsaifalikhanssonibrahimmakeshisdebutinthefilmbyplayinghimasachildinhisflashbackafterwatchingitiunderstoodthatwhytheirwasntapropertrailerbecausetherewasntanythinginthefilmtoshowthestorywasextremelydumandevenayearoldchildcancomeupwithabetterstorylinetherewashardlyanyactionandthecamerashookateverypossibleanglethereisanditsdifficulttofigureoutthatwhoiskillingwhoalsotheactionwasdaftunrealisticegmanwithahandgunmanagedtokillaboutmenwithmachinegunswhileiwaswatchingtashanitremindedmeoffilmssincityduringtheopeningcreditskoylaanilkapoorsterribleenglishlikeamrishpuriinkoylajhoombarabarjhoomtheoutrageouslyridiculousjokesthatarenotevenajotfunnyialsoheardthebudgetiscroreswhichisthesameamountasdhoomandidontknowwhereallthemoneywenttoanywayifyoudidnotlikedhoomthenthereisabsolutelynochancethatyouwillliketashanracewashotonheelsandthatisamilliontimesbettertheonlygoodsongsaredilhaarachalliyaandbothsongsareshotingreeceatgoodlocationsbutwhatistheuseofitinarubbishfilmevenanilkapoorsterribleenglishcouldntsavethisdiscomfiture',-1

'tashanthetitleitselfexplainsthenatureofthemoviethistypeofmoviesareactuallymadeforflopwhatashamethatyashrajfilmsproducessuchmoviesthoseareworthlessthancgrademoviesorevensomecgrademovieshavebetterandpleasingstorythantashanthemuchhypedandoverconfidentlypromotedtashanpoorlybombedattheboxofficewhichitcertainlydeservedinmyviewthisistheworstmovieevermadefromhonourableyashrajfilmsbannerhowcometheyhandledsuchaheavyprojecttonewvijaykrishnaacharyawhohasnoactualsenseofmakingactionflickhetriedtoimitatesanjaygadhviswaysofmakinglikedhoombuthesufferedatlasttheactionscenesaremorelikethancomicsorcartoonmoviesmadeforexhaustingtheaudiencesthestoryalsolosesinitsmeaningandsubstancestotenderlywintheaudiencesheartsinmostscenesanilkapoorremindsmeofsoutherntamilstarrajnikantinhisbodylanguagesandwordlyexpressionsiamnotafanofneithersaifnorakshaybuttheawardofkareenashouldhavefinallygonetosaifshandinsteadofakshayjustfromthestartingpointiexpectedofitbutattheenditdispleasedmewiththeclimaxtruthsaifisthemainbehindthewholeadventurewhileakshayjoinsinthemidstinanymoviethefinalshouldbejudgedwiththewholecharactersoftheentirestoryandtheawardorsayrewardshouldbegiventotheonewhodeservescreditandtashanlosesinthiswayandunexpectedlyfailedtobecomeahitakshayshasnothingnewtoshowoffhiscomediantalentherebutstillremindsofhispreviousmoviesheseriouslyneedtoformanewimagetohisfansthatwouldimpressthemagainandagaininbetweensaifdidagreatjobinraceandnowhereturnedagaininhishilariousnaturethroughthismoviebuthehasfullydevelopedhimselfintheactingfieldandlastbutnottheleastaboutkareenashelooksreallyhotwithbikinidressofwhichsomecomplainasshebecametooleanbutimyselfdontthinksoinsteadshebecameslimyesslimitisagoodfactorforafemaletoattractthemajorpeopleorsaymalebesidethemitisnicethatsaifssonibrahimappearsinthebeginninglastasyoungsaifihopenowhetoowillleanforwardintargetofmakingactingashiscareerthosewholikethistashantheyareeithermentallyimmaturedorstillwanttogobacktochildhoodorsaywanttobeadmittedinanasylumthumbsdowntodebutantedirectorvijaykrishnaacharyawhomishandledtheprojectofferedbyyashrajfilmsinfutureheshouldexperimentandstudythescriptminimumofyearsbeforegoingintopracticaldirectionssorryidontliketorategoodstarstothistypeofjunkmovies',-1

'ijustsawthemovieintheaterthemoviehasveryfewgoodpointstotalkaboutkareenasbeautyandacoupleofsongsmaybethatsitthemovieisacompletedisappointmentinallareasanyoneassociatedwiththemoviewillbedisappointedevenmumbaiindianstoojustnowchennaihasmadeittosemifinalbuttheworstifeelaboutthemovieistheactionscenesnowdaysbollywoodistryingtocopyactionscenesfromhollywoodbuttheyforgetthathollywooddirectorstakesaloteffecttomakeitlooklikerealbutunfortunatelybollywooddirectorsdonothavethatmuchoftimetheyspendtheirtimeonsongsandpublicityofthemovienowsuchtoostupidactionscenesmayworkinsouthastheaudiencejustpaytowatchtheirfavoriteactorkillingbunchofpeoplebutinbollywoodthisiscertainlynotgoingtoworkalltheactionscenesiwishicouldhaveforwardedattheendevensomechinesepeopleappearfromnowheretobeatakshaykumarthisisheightofstupidityaudienceisnotpayingtowatchsuchstupidityithinkbollywoodnowshouldforgetabouttheactionmoviestheycantmakeitthelastgoodactionihaveseenwasfromghatakandkhiladiyonkakhialdithecurrentsceneinbollywoodisreallysadforactionmoviefanslikemedoesthesepeopleseetheirmovieaftercompletioncanttheyfigureoutthattheslowmotionactionwhichisdoneusingropesistoounrealisticandchildishbetternottohaveactionscenesifyoucanthandleitijustwanttogobacktoamitabhserawheremovielikezanjeeranddeewarwerehavingthrillingactionscenesthesoundeffectwasnotveryeffectiveinthosedaysbutvisuallyitismuchbetterthancurrenterascenesthismovienowshouldopentheeyesofthebollywoodmoviedirectorspleasedontmakeanymoreactionmoviesuntilyouacquiretheartofmakingitrealistic',-1

